topic,year,papers_published
Ancient Mediterranean Archaeology and History,1803,1
Marine Ecology and Invasive Species,1803,1
Marine and environmental studies,1803,1
Marine animal studies overview,1844,1
Advanced Image Fusion Techniques,1862,1
Machine Learning in Materials Science,1862,1
Geochemistry and Geologic Mapping,1862,1
Classical Antiquity Studies,1879,1
Ancient Egypt and Archaeology,1883,1
Archaeology and Historical Studies,1883,1
Avian ecology and behavior,1887,1
Bird parasitology and diseases,1887,1
Livestock and Poultry Management,1887,1
Evolution and Genetic Dynamics,1890,1
Ecosystem dynamics and resilience,1890,1
Animal Ecology and Behavior Studies,1890,1
Jewish and Middle Eastern Studies,1895,3
History and Theory of Mathematics,1895,1
American Constitutional Law and Politics,1897,1
Political Theory and Influence,1897,1
Plant and animal studies,1903,1
"Botany, Ecology, and Taxonomy Studies",1903,1
Mediterranean and Iberian flora and fauna,1903,1
Oral and Maxillofacial Pathology,1903,1
Cancer Diagnosis and Treatment,1903,1
Soft tissue tumor case studies,1903,1
Ship Hydrodynamics and Maneuverability,1906,1
Maritime Transport Emissions and Efficiency,1906,1
Structural Integrity and Reliability Analysis,1906,1
Weed Control and Herbicide Applications,1907,1
Agricultural pest management studies,1907,1
Philippine History and Culture,1908,1
Mathematics and Applications,1909,1
Chaos-based Image/Signal Encryption,1909,1
Coding theory and cryptography,1909,1
graph theory and CDMA systems,1909,1
Linguistics and language evolution,1912,1
Ancient Near East History,1912,1
Botanical Research and Chemistry,1912,1
Biochemical effects in animals,1913,1
Thyroid Disorders and Treatments,1913,1
Vietnamese History and Culture Studies,1915,1
Insect Pheromone Research and Control,1918,1
Forest Insect Ecology and Management,1918,1
Education and Islamic Studies,1921,1
Asian Studies and History,1921,1
"Linguistic, Cultural, and Literary Studies",1921,1
Cryospheric studies and observations,1922,1
Photoreceptor and optogenetics research,1923,1
Microtubule and mitosis dynamics,1923,1
Photosynthetic Processes and Mechanisms,1923,1
Asian Studies and History,1923,1
Mathematics and Applications,1927,1
advanced mathematical theories,1927,1
Polynomial and algebraic computation,1927,1
Advanced Power Generation Technologies,1928,1
Chemical synthesis and alkaloids,1930,1
Forensic Anthropology and Bioarchaeology Studies,1932,1
Ship Hydrodynamics and Maneuverability,1934,1
Maritime Transport Emissions and Efficiency,1934,1
Spacecraft and Cryogenic Technologies,1934,1
Advanced Numerical Analysis Techniques,1934,1
Optimization and Packing Problems,1934,1
Polymer crystallization and properties,1937,2
Classical Antiquity Studies,1937,2
Fluid Dynamics Simulations and Interactions,1937,1
Earthquake and Tsunami Effects,1937,1
Functional Equations Stability Results,1937,1
Historical Linguistics and Language Studies,1937,1
Spanish Linguistics and Language Studies,1937,1
Material Dynamics and Properties,1937,1
Fuel Cells and Related Materials,1937,1
Australian History and Society,1937,1
Irish and British Studies,1937,1
"Historical Studies on Reproduction, Gender, Health, and Societal Changes",1937,1
Sleep and Wakefulness Research,1937,1
Sleep and related disorders,1937,1
Psychedelics and Drug Studies,1937,1
Behavioral and Psychological Studies,1938,1
Formal Methods in Verification,1938,1
Educational and Psychological Assessments,1938,1
"Language, Linguistics, Cultural Analysis",1938,1
Diverse Education Studies and Reforms,1939,1
School Choice and Performance,1939,1
Diverse Educational Innovations Studies,1939,1
Classical Antiquity Studies,1939,1
Archaeology and Historical Studies,1942,1
Classical Antiquity Studies,1942,1
Ancient Mediterranean Archaeology and History,1942,1
Ship Hydrodynamics and Maneuverability,1942,1
Geophysics and Gravity Measurements,1942,1
Oceanographic and Atmospheric Processes,1942,1
Cultural Heritage Materials Analysis,1943,1
Subtitles and Audiovisual Media,1944,1
Educational Environments and Student Outcomes,1944,1
Aquaculture Nutrition and Growth,1945,1
Fish Biology and Ecology Studies,1945,1
Reproductive biology and impacts on aquatic species,1945,1
Dental materials and restorations,1945,1
Dental Erosion and Treatment,1945,1
Laser Applications in Dentistry and Medicine,1945,1
Ancient Egypt and Archaeology,1946,1
Classical Antiquity Studies,1946,1
"Historical, Religious, and Philosophical Studies",1946,1
Color perception and design,1946,1
Color Science and Applications,1946,1
Historical Architecture and Urbanism,1946,1
Architecture and Art History Studies,1946,1
Power Line Communications and Noise,1947,1
Wireless Communication Networks Research,1947,1
Advanced Wireless Communication Techniques,1947,1
Mobile Agent-Based Network Management,1947,1
Wireless Sensor Networks and IoT,1947,1
Chemical Thermodynamics and Molecular Structure,1948,1
X-ray Diffraction in Crystallography,1948,1
Thermal and Kinetic Analysis,1948,1
Radiomics and Machine Learning in Medical Imaging,1948,1
Molecular Biology Techniques and Applications,1948,1
Cancer Genomics and Diagnostics,1948,1
Inertial Sensor and Navigation,1948,1
European and International Law Studies,1949,1
European Politics and Security,1949,1
International Law and Human Rights,1949,1
Corporate Law and Human Rights,1949,1
International Law and Aviation,1949,1
Musicology and Musical Analysis,1949,1
Image Enhancement Techniques,1949,1
Color perception and design,1949,1
Color Science and Applications,1949,1
Advanced Control Systems Optimization,1951,1
Process Optimization and Integration,1951,1
Analytical Chemistry and Chromatography,1951,1
Fiscal Policy and Economic Growth,1951,1
American Constitutional Law and Politics,1951,1
Local Government Finance and Decentralization,1951,1
Engineering Applied Research,1952,1
Geotechnical Engineering and Underground Structures,1952,1
Geological and Geochemical Analysis,1952,1
Geochemistry and Geologic Mapping,1952,1
Mineralogy and Gemology Studies,1952,1
Legume Nitrogen Fixing Symbiosis,1952,1
Soybean genetics and cultivation,1952,1
Cooperative Communication and Network Coding,1953,1
graph theory and CDMA systems,1953,1
Millimeter-Wave Propagation and Modeling,1953,1
Craniofacial Disorders and Treatments,1953,1
Advanced Control Systems Optimization,1953,1
Fault Detection and Control Systems,1953,1
Control Systems and Identification,1953,1
Thermography and Photoacoustic Techniques,1953,1
Machine Learning in Materials Science,1953,1
Advanced Semiconductor Detectors and Materials,1953,1
Fluid Dynamics and Turbulent Flows,1953,1
Fluid Dynamics and Heat Transfer,1953,1
Particle Dynamics in Fluid Flows,1953,1
Educational Leadership and Administration,1953,1
Education and Critical Thinking Development,1953,1
Educational Assessment and Pedagogy,1953,1
