topic,author,total_citations
Advanced Neural Network Applications,Quoc V. Le,19985
Advanced Neural Network Applications,Kaiming He,19250
Domain Adaptation and Few-Shot Learning,Saining Xie,18078
Advanced Neural Network Applications,Ross Girshick,17996
Advanced Neural Network Applications,Saining Xie,17709
Domain Adaptation and Few-Shot Learning,Quoc V. Le,17675
Domain Adaptation and Few-Shot Learning,Kaiming He,17251
Domain Adaptation and Few-Shot Learning,Ross Girshick,15117
Generative Adversarial Networks and Image Synthesis,Tero Karras,12466
Generative Adversarial Networks and Image Synthesis,Timo Aila,12466
Generative Adversarial Networks and Image Synthesis,Samuli Laine,12466
Multimodal Machine Learning Applications,Kaiming He,12450
Advanced Neural Network Applications,Chien-Yao Wang,11022
Advanced Neural Network Applications,Hong-Yuan Mark Liao,11022
Advanced Image and Video Retrieval Techniques,Quoc V. Le,11007
Multimodal Machine Learning Applications,Ross Girshick,10921
Multimodal Machine Learning Applications,Haoqi Fan,10520
Domain Adaptation and Few-Shot Learning,Haoqi Fan,10401
Multimodal Machine Learning Applications,Saining Xie,10199
Advanced Neural Network Applications,Yuxin Wu,10158
Advanced Neural Network Applications,Mingxing Tan,9992
Advanced Neural Network Applications,Haoqi Fan,9881
Domain Adaptation and Few-Shot Learning,Yuxin Wu,9300
Multimodal Machine Learning Applications,Yuxin Wu,9300
Domain Adaptation and Few-Shot Learning,Mingxing Tan,9110
Domain Adaptation and Few-Shot Learning,Ruoming Pang,8678
Advanced Image and Video Retrieval Techniques,Mingxing Tan,8678
Advanced Neural Network Applications,Ruoming Pang,8678
Advanced Image and Video Retrieval Techniques,Ruoming Pang,8678
Domain Adaptation and Few-Shot Learning,Xinlei Chen,8233
Generative Adversarial Networks and Image Synthesis,Robin Rombach,8030
Advanced Neural Network Applications,Jiashi Feng,7967
Generative Adversarial Networks and Image Synthesis,Björn Ommer,7928
Robotics and Sensor-Based Localization,Alex Lang,7820
Advanced Neural Network Applications,Sourabh Vora,7820
Advanced Neural Network Applications,Alex Lang,7820
Robotics and Sensor-Based Localization,Oscar Beijbom,7820
Robotics and Sensor-Based Localization,Sourabh Vora,7820
Advanced Neural Network Applications,Oscar Beijbom,7820
Advanced Image Processing Techniques,Timo Aila,7775
Face recognition and analysis,Timo Aila,7775
Advanced Image Processing Techniques,Samuli Laine,7775
Face recognition and analysis,Samuli Laine,7775
Advanced Image Processing Techniques,Tero Karras,7775
Face recognition and analysis,Tero Karras,7775
Advanced Neural Network Applications,Piotr Dollár,7762
Generative Adversarial Networks and Image Synthesis,Patrick Esser,7600
Advanced Image and Video Retrieval Techniques,Alexey Bochkovskiy,7557
Advanced Neural Network Applications,Alexey Bochkovskiy,7557
Advanced Image and Video Retrieval Techniques,Chien-Yao Wang,7557
