author1,author2,similarity_score
Tao Xiang,Yi-Zhe Song,94
Radu Timofte,Kai Zhang,79
Ayan Kumar Bhunia,Yi-Zhe Song,78
Radu Timofte,Xueyi Zou,69
Yi-Zhe Song,Aneeshan Sain,64
Pinaki Nath Chowdhury,Yi-Zhe Song,63
Ayan Kumar Bhunia,Tao Xiang,62
Hua-En Chang,Radu Timofte,57
Sy‐Yen Kuo,Radu Timofte,56
Radu Timofte,Shuhang Gu,52
Pablo Navarrete Michelini,Radu Timofte,51
Tao Xiang,Aneeshan Sain,51
Chao Dong,Radu Timofte,51
Radu Timofte,Hao-Hsiang Yang,50
Radu Timofte,Wangmeng Zuo,49
Luc Van Gool,Radu Timofte,48
Radu Timofte,Zhi-Kai Huang,47
Radu Timofte,Lei Zhang,46
Radu Timofte,Xiaopeng Sun,46
Radu Timofte,Xiaozhong Ji,45
