cluster,topic,count
0.0,Chaos-based Image/Signal Encryption,760
0.0,Cryptography and Data Security,516
0.0,Advanced Steganography and Watermarking Techniques,436
0.0,Privacy-Preserving Technologies in Data,344
0.0,Cryptographic Implementations and Security,332
0.0,Coding theory and cryptography,211
0.0,Digital Media Forensic Detection,176
0.0,Advanced Malware Detection Techniques,146
0.0,Internet Traffic Analysis and Secure E-voting,145
0.0,"Privacy, Security, and Data Protection",142
0.0,Cryptography and Residue Arithmetic,123
1.0,Topic Modeling,835
1.0,Natural Language Processing Techniques,624
1.0,Advanced Text Analysis Techniques,375
1.0,Sentiment Analysis and Opinion Mining,339
1.0,Text and Document Classification Technologies,232
1.0,Web Data Mining and Analysis,146
1.0,Semantic Web and Ontologies,143
1.0,Speech and dialogue systems,102
2.0,Domain Adaptation and Few-Shot Learning,946
2.0,Advanced Neural Network Applications,679
2.0,Adversarial Robustness in Machine Learning,616
2.0,Anomaly Detection Techniques and Applications,570
2.0,Machine Learning and Data Classification,352
2.0,Multimodal Machine Learning Applications,348
2.0,Generative Adversarial Networks and Image Synthesis,227
2.0,COVID-19 diagnosis using AI,223
2.0,Privacy-Preserving Technologies in Data,186
2.0,AI in cancer detection,183
2.0,Neural Networks and Applications,177
2.0,Advanced Image and Video Retrieval Techniques,162
2.0,Face recognition and analysis,160
2.0,Machine Learning and ELM,160
2.0,Video Surveillance and Tracking Methods,155
2.0,Human Pose and Action Recognition,148
2.0,Face and Expression Recognition,147
2.0,Digital Media Forensic Detection,137
2.0,Network Security and Intrusion Detection,132
2.0,Machine Learning and Algorithms,123
2.0,Explainable Artificial Intelligence (XAI),115
2.0,Radiomics and Machine Learning in Medical Imaging,102
4.0,Advanced Vision and Imaging,675
4.0,Video Surveillance and Tracking Methods,656
4.0,Human Pose and Action Recognition,476
4.0,Robotics and Sensor-Based Localization,410
4.0,Advanced Image and Video Retrieval Techniques,279
4.0,Advanced Neural Network Applications,184
4.0,Anomaly Detection Techniques and Applications,139
